cod_anuncio;prioridade;cep_2dig;Estado;Cidade
2;3;75;GO;Itumbiara
6;3;6;SP;Osasco
8;3;2;SP;São Paulo
13;2;4;SP;São Paulo
15;2;5;SP;São Paulo
18;3;90;RS;Porto Alegre
21;2;12;SP;São Jose dos Campos
22;2;5;SP;São Paulo
29;2;4;SP;São Paulo
31;2;9;SP;Santo Andre
32;2;4;SP;São Paulo
40;1;13;SP;Jundiai­
43;1;18;SP;Ipero
45;1;12;SP;São Jose dos Campos
46;1;14;SP;Ribeirão Preto
51;1;1;SP;São Paulo
55;1;2;SP;São Paulo
56;1;3;SP;São Paulo
65;1;2;SP;São Paulo
68;1;5;SP;São Paulo
69;1;13;SP;Leme
75;1;4;SP;São Paulo
80;1;11;SP;Guarujá
84;1;9;SP;Santo Andre
90;1;38;MG;Uberaba
95;1;8;SP;Poá
96;1;1;SP;São Paulo
108;1;70;DF;Brasi­lia
110;1;1;SP;São Paulo
112;1;4;SP;São Paulo
117;1;9;SP;São Bernardo do Campo
122;1;5;SP;São Paulo
123;1;1;SP;São Paulo
131;1;27;RJ;Volta Redonda
133;1;4;SP;São Paulo
134;1;4;SP;São Paulo
146;1;1;SP;São Paulo
148;1;5;SP;São Paulo
153;1;3;SP;São Paulo
156;1;1;SP;São Paulo
157;1;1;SP;São Paulo
162;1;6;SP;Osasco
163;1;22;RJ;Rio de Janeiro
165;1;1;SP;São Paulo
166;1;4;SP;São Paulo
167;1;4;SP;São Paulo
169;1;4;SP;São Paulo
173;1;30;MG;Belo Horizonte
174;3;75;GO;Caldas Novas
175;1;1;SP;São Paulo
180;1;1;SP;São Paulo
183;1;1;SP;São Paulo
184;1;4;SP;São Paulo
192;1;6;SP;Santana de Parnai­ba
200;1;12;SP;São Jose dos Campos
202;1;7;SP;Guarulhos
205;1;1;SP;São Paulo
210;1;1;SP;São Paulo
220;1;13;SP;Campinas
221;1;9;SP;São Caetano do Sul
223;3;13;SP;Campinas
225;1;2;SP;São Paulo
226;1;1;SP;São Paulo
231;1;18;SP;Piedade
232;1;1;SP;São Paulo
236;1;26;RJ;Miguel Pereira
238;1;5;SP;São Paulo
239;1;1;SP;São Paulo
243;2;64;PI;Teresina
244;1;3;SP;São Paulo
248;1;5;SP;São Paulo
250;3;35;MG;Divinopolis
252;1;1;SP;São Paulo
253;1;1;SP;São Paulo
267;1;1;SP;São Paulo
268;1;1;SP;São Paulo
277;1;1;SP;São Paulo
280;3;68;PA;Santarem
281;1;5;SP;São Paulo
285;1;1;SP;São Paulo
297;1;6;SP;Osasco
299;1;3;SP;São Paulo
300;1;21;RJ;Rio de Janeiro
301;1;1;SP;São Paulo
303;3;9;SP;São Bernardo do Campo
307;3;68;PA;Santarem
313;3;1;SP;São Paulo
320;1;4;SP;São Paulo
321;3;81;PR;Curitiba
322;3;89;SC;Major Vieira
323;1;22;RJ;Rio de Janeiro
325;3;5;SP;São Paulo
335;3;96;RS;Rio Grande
336;3;94;RS;Viamão
337;1;1;SP;São Paulo
340;3;3;SP;São Paulo
342;1;5;SP;São Paulo
347;3;9;SP;São Bernardo do Campo
349;2;11;SP;Santos
359;1;4;SP;São Paulo
368;3;94;RS;Viamão
373;1;36;MG;Barbacena
380;2;81;PR;Curitiba
388;1;1;SP;São Paulo
400;1;70;DF;Brasi­lia
401;2;87;PR;Umuarama
405;1;21;RJ;Rio de Janeiro
411;2;1;SP;São Paulo
412;1;4;SP;São Paulo
417;3;4;SP;São Paulo
418;3;81;PR;Curitiba
423;3;21;RJ;Rio de Janeiro
431;1;12;SP;Taubate
433;3;1;SP;São Paulo
434;1;1;SP;São Paulo
445;1;1;SP;São Paulo
455;1;59;RN;Natal
457;1;2;SP;São Paulo
462;1;4;SP;São Paulo
470;2;5;SP;São Paulo
478;3;2;SP;São Paulo
484;3;29;ES;Vitoria
486;1;2;SP;São Paulo
490;3;89;SC;Caçador
491;1;5;SP;São Paulo
492;1;7;SP;Guarulhos
495;3;89;SC;Chapeco
496;1;7;SP;Guarulhos
503;3;4;SP;São Paulo
504;3;5;SP;São Paulo
505;1;22;RJ;Rio de Janeiro
509;1;4;SP;São Paulo
511;1;1;SP;São Paulo
516;1;22;RJ;Rio de Janeiro
517;1;3;SP;São Paulo
518;1;22;RJ;Rio de Janeiro
520;3;31;MG;Belo Horizonte
521;3;15;SP;São Jose do Rio Preto
525;3;14;SP;Barretos
529;1;5;SP;São Paulo
532;1;4;SP;São Paulo
535;1;12;SP;Atibaia
536;1;9;SP;São Bernardo do Campo
537;2;25;RJ;Petropolis
538;1;71;DF;Brasi­lia
546;1;5;SP;São Paulo
547;3;16;SP;Araçatuba
552;3;30;MG;Belo Horizonte
558;1;1;SP;São Paulo
568;3;22;RJ;Rio de Janeiro
569;3;30;MG;Belo Horizonte
571;1;93;RS;São Leopoldo
577;2;4;SP;São Paulo
578;3;15;SP;São Jose do Rio Preto
592;1;91;RS;Porto Alegre
597;1;3;SP;São Paulo
601;1;90;RS;Porto Alegre
609;1;51;PE;Recife
614;1;82;PR;Curitiba
618;1;4;SP;São Paulo
624;1;5;SP;São Paulo
628;3;93;RS;Novo Hamburgo
638;1;17;SP;Dracena
649;1;5;SP;São Paulo
653;2;4;SP;São Paulo
658;1;82;PR;Curitiba
661;1;13;SP;Pauli­nia
665;3;4;SP;São Paulo
666;3;11;SP;Cubatão
669;3;5;SP;São Paulo
671;3;3;SP;São Paulo
672;2;4;SP;São Paulo
673;3;5;SP;São Paulo
680;3;14;SP;Ituverava
685;2;3;SP;São Paulo
687;1;1;SP;São Paulo
690;3;3;SP;São Paulo
691;3;89;SC;Presidente Getulio
693;1;5;SP;São Paulo
695;1;6;SP;Barueri
697;1;4;SP;São Paulo
707;3;3;SP;São Paulo
709;1;4;SP;São Paulo
712;1;41;BA;Salvador
715;3;12;SP;Taubate
719;3;78;MT;Sorriso
722;3;11;SP;Praia Grande
729;3;9;SP;Santo Andre
