cod_versao_veiculo;portas;cambio;combustivel
340148;20;manual;alcool
310713;40;manual;gasolina
341195;20;automatico;gasolina
332063;40;automatico;gasolina
337626;20;manual;gasolina e alcool
333017;20;manual;gasolina
321080;40;manual;gasolina
340966;40;automatico;gasolina
337123;20;manual;gasolina
339963;20;manual;gasolina
340277;40;automatico;gasolina
339076;40;manual;gasolina
336291;20;manual;gasolina
322451;40;automatico;gasolina
342509;40;manual;gasolina e alcool
342914;40;automatico;gasolina e alcool
331044;40;manual;gasolina e gas natural
339681;20;manual;gasolina
339164;40;automatico;gasolina
344387;20;manual;gasolina
338658;40;automatico sequencial;gasolina
339935;40;automatico;gasolina
326121;20;manual;gasolina
339211;40;automatico;gasolina
342061;40;automatico sequencial;gasolina e alcool
310084;20;manual;gasolina
343297;20;automatizado;gasolina
339241;40;automatico;gasolina e alcool
338659;20;manual;diesel
344077;40;manual;gasolina e alcool
339084;40;automatico;gasolina
310592;40;manual;gasolina
337015;20;manual;gasolina e gas natural
339453;20;manual;gasolina
343058;20;manual;gasolina
338213;20;manual;gasolina
339997;40;manual;gasolina e alcool
339928;40;manual;gasolina e alcool
336400;40;manual;gasolina
338672;40;automatico;gasolina
4047;40;manual;gasolina
344290;20;automatico;gasolina
336577;40;manual;gasolina
341565;40;manual;gasolina
339619;20;manual;gasolina
343384;40;automatico;gasolina
340450;40;manual;gasolina e alcool
20666;20;manual;gasolina
341483;40;manual;gasolina e alcool
341940;20;manual;gasolina e alcool
339307;20;manual;gasolina
337865;20;automatico;alcool
342268;40;automatico;gasolina
341022;40;manual;gasolina e alcool
337494;40;manual;gasolina e alcool
339499;20;manual;gasolina
50539;20;manual;gasolina
337783;40;manual;gasolina
339326;20;manual;alcool
336982;40;manual;gasolina
339382;20;manual;alcool
312272;40;automatico;gasolina
300036;40;manual;gasolina e gas natural
343738;40;automatico;gasolina
320891;40;manual;gasolina e alcool
344295;40;manual;diesel
340913;40;manual;gasolina
341421;40;automatico;gasolina
342776;40;manual;gasolina
337688;40;manual;gasolina e alcool
340997;40;automatico;gasolina
341933;20;manual;diesel
337636;40;manual;gasolina e alcool
327628;40;manual;gasolina
