cod_anuncio;cod_modelo_veiculo;cod_tipo_pessoa;cod_marca_veiculo;cod_versao_veiculo;cod_cliente;leads;views;cliques_telefone;vlr_anuncio;vlr_mercado;qtd_fotos
31;1143;1;2;337123;13771;16;0;8;109000;1248147182;6
43;2600;1;17;339076;15847;1;0;10;625000;3391296306;4
55;690;1;16;342914;15375;104;0;72;389990;3966190212;6
95;2722;1;12;342061;16462;0;0;6;319000;2687500573;8
110;1161;1;2;339241;1987;0;0;2;255000;2377945322;8
117;687;1;3;344077;18367;0;0;10;239900;2242812461;6
122;1174;1;17;339084;10674;4;0;2;430000;3872099785;6
148;1189;1;5;339997;13357;1;0;2;260000;2242822139;2
163;3305;1;25;344290;1752;60;0;31;1360000;1341481802;4
174;1221;2;2;340450;4588;1;0;2;185000;2016483427;0
200;2950;1;2;342268;16006;0;0;13;440000;4578557787;5
220;1025;1;2;50539;16397;16;0;22;265000;2099267092;8
238;3091;1;25;343738;15931;8;0;18;400000;4049528736;8
244;1072;1;28;340913;1704;1;0;0;145000;1397751753;6
248;2600;1;17;341421;19759;4;0;18;330000;3706509784;8
250;3034;2;17;342776;4283;1;0;0;345000;3140175075;0
252;776;1;35;338672;16991;60;0;109;249000;2870818818;8
253;1072;1;28;337688;16991;48;0;95;139000;1185584839;8
267;2600;1;17;341421;16991;28;0;41;265000;3029699182;8
268;776;1;35;338672;16991;68;0;63;239000;2524354374;8
281;1195;1;12;337636;14408;1;0;6;230000;2293786955;4
299;2165;1;4;343141;64;8;0;13;360000;3791212909;8
303;1146;1;3;339886;80;0;0;8;188000;2027300157;7
313;2730;1;12;339183;20405;28;0;15;231000;2608148759;8
320;2089;1;2;342247;15870;16;0;30;1299900;1732237585;8
321;2950;1;2;341964;15011;1;0;12;525000;3892586669;1
322;803;2;4;344229;6124;0;0;2;275000;2256894311;6
323;2722;1;12;342337;16976;0;0;7;268000;2504435239;5
325;2869;1;25;344861;508;8;0;8;1185900;9604347583;5
336;740;2;4;344067;6149;1;0;5;419000;2533693551;0
342;739;1;2;336777;903;72;0;32;319000;4031720062;8
347;687;1;3;343800;14242;4;0;3;350000;3211152973;8
359;3104;1;15;342936;13404;40;0;55;12350000;1111215639;8
368;3202;2;2;343467;6149;1;0;4;659000;5582830459;0
380;778;1;35;338684;16070;52;0;53;820000;7899851515;8
401;3323;1;2;344421;17739;0;0;0;499000;4423135857;8
418;2487;2;5;342047;4810;1;0;0;359000;3137792919;4
445;1232;1;35;338597;16991;56;0;64;239000;302959799;8
457;1194;1;16;342096;19578;56;0;33;340000;3949778819;4
462;1202;1;26;311610;400;16;0;10;280000;2978669214;12
486;3265;1;26;344130;15948;4;0;0;560000;4773703651;7
490;1237;2;2;342999;4941;1;0;5;225000;2301127964;2
491;1174;1;17;345661;21595;40;0;17;1200000;1256879669;7
492;2487;1;5;342049;20015;0;0;13;263000;2486013583;6
505;706;1;21;342554;13226;4;0;19;280000;3737366002;8
509;2395;1;27;342715;107;16;0;5;560000;4337895673;8
516;2947;1;102;344182;13685;0;0;17;1325000;9395027843;4
517;2165;1;4;343209;13052;8;0;10;407770;3403932523;8
518;1137;1;16;341750;15838;28;0;46;372000;4344352164;8
521;1137;1;16;341750;14313;1;0;8;690000;6153795415;7
525;3072;1;2;342804;21805;8;0;13;240000;2668990555;9
532;3351;1;117;344704;2030;0;0;17;2250000;1962203993;4
536;2862;1;5;343788;16895;12;0;9;618000;654585832;8
537;690;1;16;342914;21913;12;0;5;399000;385172058;8
538;689;1;5;345193;19830;0;0;18;729500;6823918552;8
