cod_cliente;flg_unico_dono;flg_licenciado;flg_ipva_pago;flg_todas_revisoes_concessionaria;flg_garantia_fabrica;flg_blindado;flg_aceita_troca;flg_adaptado_pcd
7941;0;0;0;0;0;0;0;0
1770;0;0;0;0;0;0;0;0
709;0;0;0;0;0;0;0;0
9708;0;1;10;0;0;0;0;0
1363;0;0;0;0;0;0;0;0
1880;0;0;10;0;0;0;0;0
28;1;1;10;0;0;0;0;0
13785;1;1;10;0;0;0;0;0
1500;0;0;0;0;0;0;0;0
13771;0;1;10;0;0;0;0;0
233;1;1;10;0;0;0;0;0
1158;0;1;10;10;0;0;1;0
15847;1;1;10;0;10;0;1;0
1037;0;1;10;0;0;0;1;0
15488;0;1;10;0;0;1;0;0
13319;1;1;10;0;0;0;1;0
15375;1;1;10;0;10;0;1;0
16420;1;1;10;0;0;0;1;0
16830;0;0;10;0;0;0;1;0
17020;0;1;10;0;0;0;0;0
13408;0;1;0;0;0;0;0;0
1693;1;1;10;0;0;0;0;0
15573;0;1;10;10;0;0;1;0
13629;1;1;10;10;0;0;1;0
13494;0;1;10;0;0;0;0;10
16462;1;1;10;10;10;0;1;0
16991;0;0;0;0;0;0;0;0
13644;1;1;10;0;0;0;1;0
1987;0;1;10;0;0;0;1;0
445;1;1;10;0;0;0;1;0
18367;1;1;10;0;0;0;1;0
10674;1;1;10;10;10;0;1;0
16434;1;1;10;10;0;0;1;0
18552;0;0;10;0;0;0;0;0
14386;1;1;10;0;0;0;0;0
13159;1;1;10;0;0;0;0;0
13357;1;1;10;0;0;0;1;0
162;1;1;10;0;0;0;1;0
16275;0;1;10;10;0;0;0;0
1752;1;1;10;10;0;0;0;0
19053;1;1;10;10;0;1;0;0
18716;0;1;10;0;0;0;1;0
18763;0;1;10;10;10;0;1;0
4588;0;0;0;0;0;0;0;0
19170;0;0;0;0;0;0;0;0
1854;1;1;10;0;0;0;1;0
16006;1;1;10;10;10;0;0;0
19321;1;1;10;0;0;0;0;0
16397;0;1;10;0;0;0;0;0
408;0;0;0;0;0;0;0;0
4599;0;1;0;0;0;0;0;0
1517;1;1;10;0;0;0;1;0
16464;1;1;10;0;0;0;1;0
18478;0;1;10;10;0;0;0;0
19630;0;1;10;0;0;0;1;0
15931;0;1;10;0;0;0;1;0
6090;0;0;0;0;0;0;0;0
1704;0;1;10;0;0;0;1;0
19759;1;1;10;0;0;0;1;0
4283;0;0;0;0;0;0;0;0
6300;1;1;0;0;0;0;0;0
14408;1;0;10;10;0;0;0;0
19671;0;1;0;0;0;0;1;0
64;1;1;10;0;0;0;1;0
13505;0;1;10;0;0;0;1;0
80;0;1;10;0;0;0;0;0
