cod_modelo_veiculo;ano_modelo;km_veiculo
1143;2004;99999
2600;2010;13500
690;2010;102000
2722;2010;74000
1161;2009;128000
687;2010;60000
1174;2009;75000
1189;2009;60000
3305;2013;13548
1221;2008;0
2950;2012;140000
1025;1998;106000
3091;2011;73500
1072;2005;126000
3034;2011;65000
776;2007;89000
1195;2012;68000
2165;2016;26000
1146;2008;155000
2730;2011;53000
2089;2012;33000
803;2011;36800
2869;2013;34900
740;2012;999999999
739;2008;84000
3104;2011;5800
3202;2013;0
778;2010;99500
3323;2013;15800
2487;2012;0
1232;2007;89000
1194;2011;129000
1202;2008;102000
3265;2013;21000
1237;2011;0
706;2008;110000
2395;2013;29000
2947;2015;35700
1137;2009;90000
3072;2011;85000
3351;2014;5500
2862;2013;68000
689;2014;86330
1033;2014;53000
3266;2013;48000
3359;2015;51000
3360;2014;45000
788;2013;94000
650;2014;63000
2971;2009;60000
3130;2012;35000
2709;2008;140000
3298;2014;97000
1182;2012;170000
654;2011;84078
3053;2013;90000
2883;2008;90000
2942;2010;59000
751;2007;139143
2997;2010;130000
3272;2016;300000
1042;2007;85000
2958;2016;0
1193;2014;33000
761;2013;55343
2815;2012;125000
3112;2014;91000
3194;2012;29500
2848;2011;155000
3193;2016;50000
755;2014;91000
3508;2016;16000
2752;2016;33900
730;2013;73400
1070;2009;140000
688;2013;74000
3338;2014;45000
1094;2012;51162
3337;2013;85000
3253;2014;96000
3486;2015;24000
763;2012;35000
3511;2016;64000
3307;2014;52000
3178;2013;77000
1136;2015;46000
2664;2008;45000
781;2015;29000
703;2015;64500
2701;2009;85500
3041;2012;92500
3052;2011;80000
694;2013;89135
2978;2012;40000
2727;2010;135000
2948;2013;24404
3424;2012;69000
3628;2018;15000
1068;2013;69600
695;2013;82000
1139;2011;68000
1222;2017;20423
3138;2015;9000
1089;2005;119000
1227;2015;36000
1112;2009;113000
1009;2010;140000
3271;2013;97000
2921;2010;105000
3267;2009;179000
3225;2014;31000
2804;2015;43000
3291;2013;51000
1057;2018;17482
2629;2010;24000
2031;2014;94000
1116;2011;65500
2966;2011;72000
3340;2017;87464
3428;2014;60000
3128;2015;83000
3575;2018;30865
3026;2013;58200
3203;2011;79000
3544;2016;37000
3048;2010;31000
1213;2015;9000
3270;2017;22149
3565;2017;78000
2020;2015;26000
2646;2014;85000
3401;2014;34000
3235;2013;111000
783;2010;85000
1240;2014;61000
2599;2015;30000
2695;2010;66000
2821;2009;115000
3296;2018;100
2904;2013;77752
1229;2012;56000
670;2005;122100
3090;2011;91000
3018;2009;99000
1126;2015;35500
3613;2017;45000
1183;2010;70000
3438;2017;17294
759;2015;73173
1132;2016;17636
3161;2014;37000
3301;2016;36952
2565;2011;86575
3636;2012;70500
2764;2011;78000
1177;2015;65976
1158;2014;40000
3071;2010;98000
3417;2016;16000
3261;2015;43800
1150;2008;120000
787;2018;0
3250;2012;59000
1071;2001;110000
2347;1999;142000
3259;2014;47000
3173;2010;82000
1062;2013;29900
3515;2017;13500
1225;2011;75000
3234;2012;133021
3286;2015;56000
1188;2011;35000
3422;2018;10000
2192;2012;21000
3232;2012;40600
3474;2015;35727
3435;2014;52000
2493;2018;0
743;2010;89000
769;2018;0
2370;2015;36000
3588;2018;0
2662;2014;24700
1179;2009;103000
3618;2018;4620
3343;2013;51000
3483;2015;18000
2798;2012;12000
3304;2013;35600
3516;2016;14000
3459;2018;0
3196;2011;95533
3632;2018;101
3517;2016;31250
1141;2016;9800
3347;2015;22000
3045;2013;79978
767;2011;75000
3464;2015;42321
2045;2011;60000
3282;2014;175000
1147;2012;102500
742;2007;999
762;2005;191471
3195;2016;69000
2383;2014;59876
2937;2016;15000
3622;2018;5000
3365;2016;22490
3376;2014;49000
3316;2014;57000
2771;2011;98000
1155;2009;51000
3059;2012;150000
1138;2010;94000
3260;2012;71000
709;2013;91212
1226;2005;108000
2424;1980;50000
3383;2014;97000
3336;2015;43000
3021;2010;111059
3269;2013;98583
2142;2016;74000
3152;2018;9500
1125;2015;53614
2808;2010;198000
1198;2008;119000
3184;2012;39516
3408;2014;48000
2661;2009;54500
752;2010;38530
3132;2011;74000
3462;2015;52000
1208;2016;130000
2097;2014;2900
2017;2012;110000
1053;1999;326000
3513;2015;25000
2028;2012;110000
3065;2011;108221
3478;2015;50000
3311;2013;68000
2988;2018;21000
2660;2011;98000
2358;1998;49000
3433;2014;2400
2333;2011;46000
3494;2015;29650
1167;2012;101
2670;2014;52000
3151;2011;73000
2806;2010;75000
3299;2016;22000
2801;2014;101
2956;2018;2000
3210;2013;42000
3475;2015;39000
2042;2013;42000
2518;2007;112000
3224;2011;115000
3188;2014;32615
3241;2015;31145
2470;1979;4000
3551;2017;7000
2119;2012;75000
2654;2012;31000
3209;2012;43000
2884;2014;47000
3404;2015;38347
658;2008;64570
3119;2011;107079
1204;2015;121000
3382;2014;29000
3201;2015;52000
1192;2010;92000
2768;2010;52000
2047;2018;0
2824;2013;52000
651;2014;36000
3129;2014;100
3562;2018;0
725;2015;152190
3131;2010;62000
1124;2015;55000
2061;2014;20000
3356;2013;74900
801;2003;183528
1220;2016;7000
1092;2016;43500
2044;2018;18000
2566;2016;41500
727;2009;187000
777;2010;100
3123;2013;33900
2994;2012;95000
3350;2018;6845
3484;2017;49000
3339;2013;59000
3493;2015;12181
1011;2014;111752
3482;2017;14000
2308;2005;58000
2094;1993;90000
3450;2016;18000
3510;2016;1410
1060;2009;119649
3564;2018;4000
729;2009;100000
3658;2018;1440
1214;2015;136635
3236;2012;100
2136;2013;49000
2769;2012;70000
3550;2016;33145
3285;2015;90000
3499;2015;41500
3297;2018;0
2106;1992;86000
3627;2018;5045
779;1996;5371
2757;2010;100000
3344;2014;87000
2105;1994;184938
3563;2017;11500
3601;2017;25200
2787;2013;26100
789;2001;283000
3254;2015;15846
3485;2015;29165
3500;2015;22000
3666;2019;21825
1129;2000;114000
1114;2012;220000
3559;2016;26600
2115;2006;79000
3548;2009;179000
2790;2015;37027
3006;2009;121000
679;1995;200000
3612;2017;43407
3284;2017;12000
2310;2017;8000
3657;2018;7000
2290;1982;180000
2330;2004;38000
768;2011;110000
732;2007;52463
2180;1951;100000
2471;1975;29800
3673;2018;700
1133;2015;48900
770;2015;22599
3013;2009;178000
2013;2014;55000
2770;2012;80000
2099;1991;370000
2243;1995;41000
704;1995;83700
1168;2009;155000
1064;2014;198000
3010;2013;159000
2885;2008;110000
3122;2010;90000
3396;2016;8531
794;2001;142000
3554;2018;0
3315;2013;89000
1028;2007;140000
3444;2016;19700
3451;2014;25300
2618;2011;320000
741;1994;135800
713;2017;12508
2903;2013;86557
2357;2009;39520
2672;2008;44100
3418;2015;23164
3357;2014;33205
2657;2015;31000
3317;2015;27689
3605;2017;8800
2237;2015;68000
3492;2016;44350
3608;2017;1500
3558;2017;34000
3427;2014;52001
3566;2017;14500
2679;2014;32560
3273;2013;62853
2632;2012;56942
2785;2012;45000
2568;1980;10000
2830;2009;85000
3263;2001;89000
2307;2008;166000
3607;2017;13000
2766;2014;13900
3463;2015;51000
3147;2012;72000
2853;2009;80000
3374;2013;38000
2878;2010;26844
3416;2014;36284
2922;2009;97400
3640;2018;10278
3024;2010;9300
3676;2018;2435
2696;2005;19500
666;2007;130000
2571;1975;137000
3403;2016;16200
3079;1997;2385
2342;2006;133058
2907;2009;50000
2906;2015;14000
